Gene	Inheritance_model
PXDN	AR
D2S448E	AR
KIAA0230	AR
PRG2	AR
PXN	AR
COPOA	AR
ASGD7	AR
MYT1L	AD
KIAA1106	AD
MRD39	AD
TRAPPC12	AR
TTC15	AR
PEBAS	AR
RNASEH1	AR
PEOB2	AR
RPS7	AD
DBA8	AD
COLEC11	AR
CLK1	AR
3MC2	AR
SOX11	AD
MRD27	AD
CSS9	AD
DFNB47	AR
KIDINS220	AD
ARMS	AD
SINO	AD
ADAM17	AR
TACE	AR
NISBD1	AR
ODC1	AD
BABS	AD
LPIN1	AR
GEFSP4	AD
NBAS	AR
NAG	AR
SOPH	AR
ILFS2	AR
MYCN	AD
NMYC	AD
ODED	AD
MODED	AD
WDR35	AR
NAOFEN	AR
KIAA1336	AR
CED2	AR
SRTD7	AR
MATN3	AD,AR
EDM5	AD,AR
HOA	AD,AR
OS2	AD,AR
SEMDBCD	AD,AR
APOB	AD,AR
FLDB	AD,AR
LDLCQ4	AD,AR
FCHL2	AD,AR
POMC	AR
OBAIRH	AR
DNMT3A	AD
TBRS	AD
HESJAS	AD
ASXL2	AD
KIAA1685	AD
SHAPNS	AD
HADHA	AR
MTPA	AR
HADHB	AR
SELENOI	AR
SELI	AR
SPG81	AR
DRC1	AR
CCDC164	AR
C2orf39	AR
CILD21	AR
OTOF	AR
DFNB9	AR
NSRD9	AR
AUNB1	AR
KCNK3	AD
TASK	AD
PPH4	AD
AGBL5	AR
CCP5	AR
RP75	AR
SLC5A6	AR
SMVT	AR
NERIB	AR
CAD	AR
CDG1Z	AR
DEE50	AR
MPV17	AR
MTDPS6	AR
CMT2EE	AR
EIF2B4	AR
ZNF513	AR
IFT172	AR
SLB	AR
KIAA1179	AR
SRTD10	AR
RP71	AR
PPP1CB	AD
NSLH2	AD
XDH	AR
XAN1	AR
SRD5A2	AR
CANDF1	AD
CMCT	AD
SPAST	AD
SPG4	AD
NLRC4	AD
CARD12	AD
CLAN	AD
IPAF	AD
AIFEC	AD
FCAS4	AD
MACOM	AD
EIF2AK2	AD
PRKR	AD
LEUDEN	AD
CYP1B1	AR
GLC3A	AR
ASGD6	AR
HNFJ3	AD
GALM	AR
GLAT	AR
GALAC4	AR
SOS1	AD
GINGF	AD
GF1	AD,XL,XR
HGF	AD,AR
NS4	AD
DEL2p21	AR
C2DELp21	AR
DFNA58	AD
SCA25	AD
PKDCC	AR
VLK	AR
SGK493	AR
RLSDF	AR
HAAO	AR
VCRL1	AR
DYNC2LI1	AR
D2LIC	AR
LIC3	AR
SRTD15	AR
ABCG5	AR
STSL2	AR
ABCG8	AR
GBD4	AR
STSL1	AR
LRPPRC	AR
LRP130	AR
LSFC	AR
MC4DN5	AR
SLC3A1	AD,AR
ATR1	AD,AR
D2H	AD,AR
NBAT	AD,AR
PREPL	AR
KIAA0436	AR
CMS22	AR
SIX3	AD
HPE2	AD
EPAS1	AD
